Time,PET
356.0,0.18
357.0,0.11599
358.0,0.11842
359.0,0.15594
360.0,0.15718
361.0,0.20871
362.0,0.1639
363.0,0.14964
364.0,0.16467
365.0,0.16998
366.0,0.12344
367.0,0.1268
368.0,0.14357
369.0,0.11578
370.0,0.16137
371.0,0.25025
372.0,0.16905
373.0,0.19097
374.0,0.26234
375.0,0.17837
376.0,0.23334
377.0,0.25368
378.0,0.20152
379.0,0.15666
380.0,0.1763
381.0,0.18554
382.0,0.15059
383.0,0.15373
384.0,0.22027
385.0,0.22706
386.0,0.21143
387.0,0.32229
388.0,0.2169
389.0,0.27168
390.0,0.25883
391.0,0.19659
392.0,0.22474
393.0,0.33229
394.0,0.3006
395.0,0.35642
396.0,0.36011
397.0,0.22699
398.0,0.22459
399.0,0.24755
400.0,0.23479
401.0,0.21001
402.0,0.32582
403.0,0.33768
404.0,0.31327
405.0,0.25073
406.0,0.25589
407.0,0.36838
408.0,0.31867
409.0,0.28842
410.0,0.313
411.0,0.31575
412.0,0.42132
413.0,0.33722
414.0,0.52864
415.0,0.25071
416.0,0.17882
417.0,0.2082
418.0,0.31216
419.0,0.37946
420.0,0.3617
421.0,0.24198
422.0,0.27104
423.0,0.29339
424.0,0.24841
425.0,0.31163
426.0,0.35839
427.0,0.48838
428.0,0.45111
429.0,0.46279
430.0,0.49475
431.0,0.36776
432.0,0.3823
433.0,0.40888
434.0,0.39307
435.0,0.38801
436.0,0.42836
437.0,0.49971
438.0,0.49101
439.0,0.48305
440.0,0.62704
441.0,0.45121
442.0,0.46979
443.0,0.62667
444.0,0.4868
445.0,0.63408
446.0,0.61314
447.0,0.55415
448.0,0.57379
449.0,0.47148
450.0,0.58022
451.0,0.47277
452.0,0.61804
453.0,0.64185
454.0,0.58313
455.0,0.85778
456.0,0.57401
457.0,0.47132
458.0,0.52943
459.0,0.71895
460.0,0.59381
461.0,0.54112
462.0,0.5436
463.0,0.73549
464.0,0.71764
465.0,0.57708
466.0,0.49004
467.0,0.59638
468.0,0.60672
469.0,0.68055
470.0,0.64947
471.0,0.54472
472.0,0.66192
473.0,0.68624
474.0,0.70787
475.0,0.68877
