time,A1,A2,Soil
2018-10-01,0.24104108196165389,0.17461745480527163,0.1367446914895791
2018-10-02,0.23005263155435807,0.16517192645476944,0.43571203931188224
2018-10-03,0.2381866036973158,0.17165199897342595,0.4440139493124273
2018-10-04,0.24613077231919522,0.17439638398163496,0.4433699065144855
2018-10-05,0.24389601635641733,0.17132169154160587,0.3900581363202224
2018-10-06,0.2396417043141139,0.16567312530383535,0.3668015743456276
2018-10-07,0.2434232543963966,0.16255351762373893,0.30847535929446557
2018-10-08,0.24475601584109255,0.16168337718785875,0.2642622208290469
2018-10-09,0.24738758882399886,0.1652259254389127,0.23540410746977275
2018-10-10,0.24655302890164604,0.16687160781461302,0.20826503851665268
2018-10-11,0.23907483526092044,0.16280956666492685,0.1839322367150621
2018-10-12,0.2309245873417359,0.1605992674942977,0.1662534526738632
2018-10-13,0.22444057498455955,0.15732968199561892,0.1528388919774306
2018-10-14,0.21766216455339132,0.15021761564557573,0.14300597765065215
2018-10-15,0.21122645775843268,0.14414837909074485,0.1307207660310543
2018-10-16,0.20050023580500187,0.13555135374144364,0.12014300454154994
2018-10-17,0.19154962991865038,0.1295918649780129,0.11519215267880031
2018-10-18,0.18237694590546388,0.1250747388844095,0.10908503851116738
2018-10-19,0.1749742521240071,0.12214615817856384,0.10567948963372287
2018-10-20,0.1716120377169061,0.11970291824686374,0.10447549898408379
2018-10-21,0.1662324108306167,0.1167872459385387,0.10032368996272989
2018-10-22,0.16061589787165298,0.10934790263999983,0.09505526398500977
2018-10-23,0.15413786720186065,0.10168489889253879,0.09011116271635175
2018-10-24,0.14885396092156408,0.09665196144452336,0.08699475531552991
2018-10-25,0.14377114617290643,0.09489763134499477,0.08480441159406343
2018-10-26,0.13817791955098718,0.09112676966961249,0.08174570892279893
2018-10-27,0.13550241084835238,0.08864608200315019,0.08448779601081513
2018-10-28,0.1290070272910483,0.07935268450995982,0.0900877056420048
2018-10-29,0.1290768374491564,0.08227083179323974,0.08170100830905005
2018-10-30,0.12117378345783539,0.08034563805193659,0.07502606180810582
2018-10-31,0.11430286415368292,0.07352568345431411,0.07105963370450125
2018-11-01,0.11203388089761816,0.07077842692079193,0.07321898562369379
2018-11-02,0.1129100022269251,0.07330692588105911,0.07429630857684659
2018-11-03,0.11223328177864687,0.07438959185051984,0.07196333882249867
2018-11-04,0.10708223519848674,0.06881499362576116,0.06591130718705597
2018-11-05,0.09852836927768102,0.060898768285666455,0.06059007158294856
2018-11-06,0.09006305903756567,0.05559967822774042,0.054162726610154116
2018-11-07,0.08020079701017299,0.05330836891469885,0.048200817875371636
2018-11-08,0.07164477998419327,0.05021198734878812,0.04228161666477603
2018-11-09,0.06446530410062451,0.04550997101644297,0.03598165125727451
2018-11-10,0.05233842525315297,0.03680525139597502,0.027281506297387292
2018-11-11,0.043678963932616645,0.02731816508345722,0.02294627399222781
2018-11-12,0.038483705539142515,0.02266597775607844,0.020662959943738998
2018-11-13,0.03335537064821016,0.021777109891931656,0.017889497372129318
2018-11-14,0.027327814431908397,0.01993272288335739,0.013547200835992035
2018-11-15,0.021826664397085825,0.015230983473123278,0.011592333161177134
2018-11-16,0.020815405485322836,0.012905031399446956,0.010221557844997967
2018-11-17,0.016090270183637963,0.010064789684182705,0.00783975209687755
2018-11-18,0.011010767261380951,0.005444819295460162,0.005545073559557337
2018-11-19,0.0053471318270125615,0.002884675504825868,0.0011854160070835405
2018-11-20,0.0,0.0,0.0
2018-11-21,0.7743343061970175,0.6700243670971733,0.7101316586816467
2018-11-22,4.088536535189247,4.088377964083225,3.3106279700220087
2018-11-23,5.604348689890911,5.58909865339824,4.8203952590390715
2018-11-24,5.088993894877296,4.9853705110931825,4.202096291528698
2018-11-25,4.7996234894984235,4.6598709817451605,3.9111684917963023
2018-11-26,4.638383311885821,4.479015935268787,3.78210531483662
2018-11-27,5.3270219471443605,5.227965999814779,4.634659682611348
2018-11-28,5.252422524155978,5.14016580206167,4.573342574126559
2018-11-29,5.4453105206032095,5.356895866442392,4.834585279878782
2018-11-30,5.236212704442385,5.124215890054928,4.556309996272807
2018-12-01,5.638106033186318,5.548323705863867,5.11665383145091
2018-12-02,5.172564680029103,5.054662924399875,4.484492968054953
2018-12-03,4.973804298964961,4.839951514179334,4.277142167664345
2018-12-04,4.840388020804951,4.695474206579156,4.150951546140094
2018-12-05,4.740264729109965,4.586509806483187,4.052373121009173
2018-12-06,4.672379315043669,4.509819643502108,3.9922707800877593
2018-12-07,4.6098232383286035,4.4373592384895115,3.931013166619559
2018-12-08,4.552655869960201,4.374189127644477,3.8762281222379444
2018-12-09,4.712840956283943,4.49647223012361,4.160252888822518
2018-12-10,5.366334446783018,5.2566786835134724,4.7358477833392385
2018-12-11,5.073377161917428,4.946888951683111,4.391173685177607
2018-12-12,4.960090862811354,4.81662658279224,4.313615900603146
2018-12-13,4.881308773042364,4.727999989384833,4.222175884476366
2018-12-14,5.1679706522761615,5.013526989562559,4.598353602303721
2018-12-15,5.239489639601308,5.126066870117567,4.589889312771376
2018-12-16,5.592872912547459,5.468871074891973,5.169195558131405
2018-12-17,5.381196132248231,5.264536342334782,4.841908843110108
2018-12-18,5.595026381858891,5.474448654622016,5.196316033781317
2018-12-19,5.314566177843498,5.1997933357941255,4.75048187818329
2018-12-20,5.273358375753799,5.136446428446716,4.789795197271986
2018-12-21,5.427835083279565,5.322957404023634,4.897711011592992
2018-12-22,5.123317983353275,4.995667544408988,4.5208761555890025
2018-12-23,5.1836419216293566,5.028594996088168,4.745332593791881
