Time,vRoot
356.0,0.18388
357.0,0.13064
358.0,0.045613
359.0,0.056462
360.0,0.076228
361.0,0.13342
362.0,0.1131
363.0,0.19382
364.0,0.13865
365.0,0.09577
366.0,0.12154
367.0,0.10614
368.0,0.15806
369.0,0.09652
370.0,0.042135
371.0,0.061173
372.0,0.097998
373.0,0.11131
374.0,0.11695
375.0,0.13331
376.0,0.11912
377.0,0.14521
378.0,0.062869
379.0,0.17094
380.0,0.14069
381.0,0.12569
382.0,0.1275
383.0,0.061909
384.0,0.073564
385.0,0.15122
386.0,0.12234
387.0,0.14441
388.0,0.14408
389.0,0.11783
390.0,0.13539
391.0,0.090419
392.0,0.13473
393.0,0.19454
394.0,0.16689
395.0,0.17916
396.0,0.16571
397.0,0.11402
398.0,0.072968
399.0,0.098489
400.0,0.19166
401.0,0.15157
402.0,0.14187
403.0,0.17929
404.0,0.21207
405.0,0.14511
406.0,0.081451
407.0,0.16262
408.0,0.23949
409.0,0.29587
410.0,0.16408
411.0,0.19934
412.0,0.14711
413.0,0.25621
414.0,0.12584
415.0,0.15096
416.0,0.11041
417.0,0.15882
418.0,0.21051
419.0,0.17382
420.0,0.20269
421.0,0.20245
422.0,0.14835
423.0,0.23091
424.0,0.20682
425.0,0.23762
426.0,0.31863
427.0,0.28276
428.0,0.22864
429.0,0.259
430.0,0.23638
431.0,0.2241
432.0,0.14387
433.0,0.29
434.0,0.30731
435.0,0.28825
436.0,0.29901
437.0,0.37761
438.0,0.34278
439.0,0.3191
440.0,0.24928
441.0,0.29443
442.0,0.3179
443.0,0.3075
444.0,0.28007
445.0,0.22805
446.0,0.31581
447.0,0.25785
448.0,0.29632
449.0,0.18782
450.0,0.2778
451.0,0.20836
452.0,0.32295
453.0,0.53956
454.0,0.36695
455.0,0.43464
456.0,0.65404
457.0,0.70241
458.0,0.58077
459.0,0.65088
460.0,0.34455
461.0,0.45679
462.0,0.21345
463.0,0.25439
464.0,0.27047
465.0,0.34734
466.0,0.37692
467.0,0.27014
468.0,0.28158
469.0,0.32678
470.0,0.40872
471.0,0.41585
472.0,0.20451
473.0,0.2156
474.0,0.30862
475.0,0.43245
476.0,0.45926
477.0,0.60961
478.0,0.46328
479.0,0.50346
480.0,0.3394
481.0,0.35325
482.0,0.29636
483.0,0.50773
484.0,0.72075
485.0,0.7989
486.0,0.6166
487.0,0.83366
488.0,0.84521
489.0,0.7667
