Time,PET
1.0,0.1665
2.0,0.1251
3.0,0.051989
4.0,0.038073
5.0,0.084983
6.0,0.055615
7.0,0.069863
8.0,0.051701
9.0,0.04788
10.0,0.10277
11.0,0.087077
12.0,0.075607
13.0,0.025318
14.0,0.025931
15.0,0.060922
16.0,0.066182
17.0,0.037628
18.0,0.094719
19.0,0.033624
20.0,0.10294
21.0,0.10068
22.0,0.07075
23.0,0.0478
24.0,0.0359
25.0,0.08708
26.0,0.090655
27.0,0.15849
28.0,0.078123
29.0,0.04862
30.0,0.065111
31.0,0.12603
32.0,0.15833
33.0,0.19921
34.0,0.20419
35.0,0.17521
36.0,0.26658
37.0,0.061468
38.0,0.089207
39.0,0.25089
40.0,0.22979
41.0,0.079286
42.0,0.05124
43.0,0.13882
44.0,0.29618
45.0,0.23028
46.0,0.21573
47.0,0.13918
48.0,0.13305
49.0,0.20732
50.0,0.26963
51.0,0.21432
52.0,0.14031
53.0,0.17195
54.0,0.19859
55.0,0.082607
56.0,0.11517
57.0,0.04
58.0,0.074787
59.0,0.15432
60.0,0.16196
61.0,0.14964
62.0,0.25343
63.0,0.29212
64.0,0.24875
65.0,0.090173
66.0,0.16353
67.0,0.17693
68.0,0.11718
69.0,0.17832
70.0,0.20448
71.0,0.14333
72.0,0.10912
73.0,0.16488
74.0,0.15085
75.0,0.13468
76.0,0.24669
77.0,0.37566
78.0,0.31995
79.0,0.26593
80.0,0.19454
81.0,0.12813
82.0,0.1836
83.0,0.16491
84.0,0.22389
85.0,0.2301
86.0,0.15828
87.0,0.20368
88.0,0.24319
89.0,0.3443
90.0,0.39593
91.0,0.36114
92.0,0.36083
93.0,0.32939
94.0,0.34368
95.0,0.22886
96.0,0.37978
97.0,0.56794
98.0,0.55881
99.0,0.3846
100.0,0.32565
101.0,0.26556
102.0,0.33145
103.0,0.24685
104.0,0.29699
105.0,0.15381
106.0,0.31043
107.0,0.39896
108.0,0.60302
109.0,0.5601
110.0,0.51887
111.0,0.42239
112.0,0.36365
113.0,0.25016
114.0,0.22799
115.0,0.18399
116.0,0.29778
117.0,0.25516
118.0,0.23938
119.0,0.31898
120.0,0.28493
121.0,0.43381
122.0,0.59185
123.0,0.52997
124.0,0.35115
125.0,0.30008
126.0,0.26582
127.0,0.47326
128.0,0.5473
129.0,0.33923
130.0,0.481
131.0,0.61116
132.0,0.64139
133.0,0.53053
134.0,0.48616
135.0,0.19829
136.0,0.25969
137.0,0.34476
138.0,0.56138
139.0,0.54597
140.0,0.27431
141.0,0.305
142.0,0.3631
143.0,0.25251
144.0,0.29092
145.0,0.40362
146.0,0.41503
147.0,0.40577
148.0,0.43096
149.0,0.52743
150.0,0.49351
151.0,0.57975
152.0,0.65351
153.0,0.59242
154.0,0.52007
155.0,0.68383
156.0,0.67119
157.0,0.6097
158.0,0.69931
159.0,0.57854
160.0,0.33157
161.0,0.3841
162.0,0.36186
163.0,0.51048
164.0,0.59865
165.0,0.35464
166.0,0.33852
167.0,0.36043
168.0,0.32151
169.0,0.37868
170.0,0.36941
171.0,0.46856
172.0,0.50493
173.0,0.5962
174.0,0.54206
175.0,0.40423
176.0,0.46526
177.0,0.62514
178.0,0.62114
179.0,0.58615
180.0,0.60561
181.0,0.63296
182.0,0.67021
183.0,0.68099
184.0,0.59956
185.0,0.621
186.0,0.59628
187.0,0.57443
188.0,0.58235
189.0,0.4897
190.0,0.27905
191.0,0.39797
192.0,0.26807
193.0,0.48684
194.0,0.4237
195.0,0.58574
196.0,0.65181
197.0,0.5861
198.0,0.55973
199.0,0.48972
200.0,0.44962
201.0,0.45342
202.0,0.52957
203.0,0.43904
204.0,0.5438
205.0,0.63196
206.0,0.60099
207.0,0.57166
208.0,0.67145
209.0,0.69733
210.0,0.73899
211.0,0.75033
212.0,0.6274
213.0,0.61459
214.0,0.61214
215.0,0.56376
216.0,0.69788
217.0,0.69675
218.0,0.53736
219.0,0.52488
220.0,0.50008
221.0,0.46937
222.0,0.49173
223.0,0.5837
224.0,0.63604
225.0,0.62381
226.0,0.62532
227.0,0.65822
228.0,0.68029
229.0,0.73287
230.0,0.63213
231.0,0.76112
232.0,0.68903
233.0,0.59464
234.0,0.57042
235.0,0.64383
236.0,0.66175
237.0,0.67691
238.0,0.82234
239.0,0.68436
240.0,0.54603
241.0,0.504
242.0,0.47697
243.0,0.37384
244.0,0.35681
245.0,0.36174
246.0,0.382
247.0,0.42605
248.0,0.39864
249.0,0.43217
250.0,0.24964
251.0,0.41621
252.0,0.52699
253.0,0.63726
254.0,0.66694
255.0,0.46154
256.0,0.49771
257.0,0.47891
258.0,0.44647
259.0,0.52188
260.0,0.55052
261.0,0.38375
262.0,0.34449
263.0,0.38956
264.0,0.37557
265.0,0.32828
266.0,0.29234
267.0,0.11081
268.0,0.33559
269.0,0.57293
270.0,0.57197
271.0,0.42709
272.0,0.41761
273.0,0.3434
274.0,0.29233
275.0,0.18765
276.0,0.1279
277.0,0.090678
278.0,0.20838
279.0,0.14923
280.0,0.21243
281.0,0.19881
282.0,0.27463
283.0,0.28609
284.0,0.1979
285.0,0.23753
286.0,0.30325
287.0,0.050172
288.0,0.14473
289.0,0.10645
290.0,0.078597
291.0,0.14163
292.0,0.13776
293.0,0.16919
294.0,0.11863
295.0,0.087959
296.0,0.16973
297.0,0.16217
298.0,0.12786
299.0,0.16097
300.0,0.11187
301.0,0.061326
302.0,0.16236
303.0,0.12097
304.0,0.083531
305.0,0.16115
306.0,0.16921
307.0,0.26449
308.0,0.16085
309.0,0.2873
310.0,0.087401
311.0,0.14482
312.0,0.11711
313.0,0.21247
314.0,0.16917
315.0,0.17139
316.0,0.1651
317.0,0.14223
