,A1,A2,A3,A4,A5,A6,A7,A8,A9,Rivendell_WY_Rain_mm,well_10_adjust,well_07_adjust,PET_mmd
2016-01-07,0.7155690115663457,0.5615270182392986,0.33846727738286575,0.6147272725161061,0.370185711649343,0.09410398298223252,0.10079219280957527,0.1402639452340826,0.47221077272397505,939.8189951468958,-13.649580175966214,-7.089306622790393,0.7642997850717673
2016-01-08,0.6901253043675575,0.5705894732991386,0.33523371292173715,0.6280623497768909,0.37563285884338904,0.09764644265571382,0.09536223581128553,0.14767922696169847,0.48427861525203847,945.5239950706018,-12.710887671407155,-6.266131002445341,0.6169178484551567
2016-01-09,0.7031530858020087,0.5772390277410534,0.3363841149961332,0.6288715884041888,0.37656364100629736,0.11188474838340041,0.10335695846176865,0.15299447844763525,0.4913978237517548,962.6379953910364,-12.852721392102657,-6.488045082590728,0.7363851771227473
2016-01-10,0.7215364549829912,0.5871162013765034,0.34286908751490197,0.636099550944542,0.38243109511599993,0.1292063262540978,0.11282622726365246,0.15472293632607126,0.4896631918898136,967.0069953490748,-13.264364139857872,-6.861124973461204,0.9783750745672344
2016-01-11,0.7172237712541704,0.603512934635343,0.34405873071134785,0.6374548435652411,0.38343502004744145,0.1291199646548002,0.12292067209756247,0.1560255672994782,0.49020806983072435,970.7459954310908,-13.4604786758677,-7.040657718206499,0.7976160477447142
2016-01-12,0.7194489675551652,0.6030377589041158,0.34579448917955546,0.6469624076031115,0.3898522979629251,0.13854864574989623,0.12362033782706697,0.15967080861477856,0.4958042021059605,975.5109952975764,-13.528618105291567,-7.232882767875119,0.9933828633723527
2016-01-13,0.7315311102567033,0.6047245518524915,0.3502016495182686,0.6468111676904524,0.38976569172853026,0.1511077940588264,0.1267168590264403,0.16002085278372286,0.4956250357178552,1046.940995602752,-13.513768511546788,-7.222611324185808,1.0009992551618423
2016-01-14,0.7294063994199818,0.6162476957028684,0.36838050182948145,0.645387071118549,0.39656272067275133,0.1802023942036699,0.13461377648903178,0.16800497676038798,0.5013883216624448,1058.0279954959406,-13.46516927468248,-6.900161699017717,0.7984789387804847
2016-01-15,0.7298384620282558,0.622229671883622,0.36573923060928276,0.6496688624458136,0.39738588653555007,0.17243836905681909,0.14021808732815816,0.16785131688965094,0.502758511500091,1090.0659936954034,-12.806069964631584,-6.230235847807588,0.9818388825227377
2016-01-16,0.7381873946459161,0.6322526334876303,0.3726324939576449,0.6506539626392782,0.4016991237891847,0.18021477632669558,0.14405355293410196,0.17072971554085903,0.5044061014719566,1132.1439928103937,-12.860684662323012,-6.212864194353218,1.0979058741371088
2016-01-17,0.7439199414888077,0.6373718479572541,0.3764713481788372,0.6579020441901946,0.40299053356507825,0.18362672526676665,0.14837967811966307,0.17507407989282608,0.5091509285893974,1181.6499933291925,-12.874920739192262,-5.892152126109449,0.9064699235067817
2016-01-18,0.7406264066342234,0.643518977343507,0.3856969685581437,0.6605607813601269,0.4165056831337335,0.26729436841819565,0.2279501545758337,0.2337078552038005,0.5598934385241116,1278.9569925357357,-11.6961673916399,-4.291701390657408,0.8735537494304376
2016-01-19,0.7415380033456125,0.6472928039808441,0.39396007532178123,0.6638103131875304,0.4142257584301954,0.2526987640071625,0.20805609757401716,0.21176787307283595,0.5623335002306042,1327.0169939090265,-11.688016938090415,-4.04197368738563,1.0970152176691297
2016-01-20,0.7461115641065117,0.6559219009194845,0.40632769754410025,0.6696155186681011,0.4214931291402013,0.2526167063944972,0.20237694710352594,0.21138412851742255,0.5593700840746463,1335.188993840362,-12.398278668403842,-4.736048669716354,1.0104461578292017
