,Vms_Rock_Moisture_A3,wy,value
2015-12-18,23.561562499999997,2016,14.99955438156638
2015-12-19,25.228194444444444,2016,15.02864961397644
2015-12-20,25.774895833333332,2016,15.0577448463865
2015-12-21,26.360659722222223,2016,15.08684007879656
2015-12-22,26.908506944444444,2016,15.115935311206622
2015-12-23,27.244201388888886,2016,15.14503054361668
2015-12-24,27.242326388888888,2016,15.174125776026742
2015-12-25,27.61645833333333,2016,15.203221008436802
2015-12-26,27.746909722222224,2016,15.232316240846863
2015-12-27,27.82111111111111,2016,15.261411473256924
2015-12-28,28.006631944444447,2016,15.290506705666985
2015-12-29,27.97826388888889,2016,15.319601938077044
2015-12-30,28.15319444444445,2016,15.348697170487105
2015-12-31,28.183194444444442,2016,15.377792402897166
2016-01-01,28.272881944444446,2016,15.406887635307227
2016-01-02,28.33590277777778,2016,15.435982867717286
2016-01-03,28.223958333333332,2016,15.465078100127347
2016-01-04,28.143611111111113,2016,15.494173332537407
2016-01-05,28.178159722222222,2016,15.523268564947468
2016-01-06,28.495034722222226,2016,15.552363797357529
2016-01-07,29.472604166666667,2016,15.58145902976759
2016-01-08,29.533506944444444,2016,15.610554262177649
2016-01-09,29.596249999999998,2016,15.63964949458771
2016-01-10,29.743055555555557,2016,15.66874472699777
2016-01-11,29.76079861111111,2016,15.697839959407832
2016-01-12,29.803263888888893,2016,15.72693519181789
2016-01-13,29.980833333333333,2016,15.756030424227951
2016-01-14,30.41118055555555,2016,15.785125656638012
2016-01-15,30.378402777777776,2016,15.814220889048073
2016-01-16,30.56006944444444,2016,15.843316121458134
2016-01-17,30.680486111111108,2016,15.872411353868195
2016-01-18,30.95888888888889,2016,15.901506586278254
2016-01-19,31.136909722222217,2016,15.930601818688315
2016-01-20,31.470138888888886,2016,15.959697051098376
2016-01-21,31.544166666666666,2016,15.988792283508436
2016-01-22,31.47663194444444,2016,16.017887515918495
2016-01-23,31.559965277777778,2016,16.046982748328556
2016-01-24,32.03534722222222,2016,16.076077980738617
2016-01-25,32.22618055555555,2016,16.105173213148678
2016-01-26,32.42336805555556,2016,16.13426844555874
2016-01-27,32.569722222222225,2016,16.1633636779688
2016-01-28,32.84232638888889,2016,16.19245891037886
2016-01-29,32.977222222222224,2016,16.221554142788918
2016-01-30,33.121875,2016,16.250649375198982
2016-01-31,33.199618055555554,2016,16.27974460760904
2016-02-01,33.54663194444445,2016,16.3088398400191
2016-02-02,33.686527777777776,2016,16.33793507242916
2016-02-03,33.90673611111111,2016,16.367030304839222
2016-02-04,34.20621527777778,2016,16.396125537249283
2016-02-05,34.41395833333333,2016,16.425220769659344
2016-02-06,34.64253472222222,2016,16.454316002069405
2016-02-07,34.76291666666666,2016,16.483411234479465
2016-02-08,34.89618055555555,2016,16.512506466889526
2016-02-09,34.99840277777778,2016,16.541601699299584
2016-02-10,35.10777777777778,2016,16.570696931709644
2016-02-11,35.2425,2016,16.599792164119705
2016-02-12,35.403749999999995,2016,16.628887396529766
2016-02-13,35.71725694444444,2016,16.657982628939827
2016-02-14,36.0628125,2016,16.687077861349888
2016-02-15,36.14072916666667,2016,16.71617309375995
2016-02-16,36.10572916666667,2016,16.74526832617001
2016-02-17,36.14788194444444,2016,16.77436355858007
2016-02-18,36.339618055555555,2016,16.803458790990128
2016-02-19,36.58399305555556,2016,16.832554023400192
2016-02-20,36.654965277777784,2016,16.86164925581025
2016-02-21,36.710590277777776,2016,16.89074448822031
2016-02-22,37.04888888888889,2016,16.91983972063037
2016-02-23,36.87840277777778,2016,16.948934953040432
2016-02-24,37.1065625,2016,16.978030185450493
2016-02-25,37.203159722222225,2016,17.007125417860554
2016-02-26,37.34413194444445,2016,17.036220650270614
2016-02-27,37.60482638888889,2016,17.065315882680675
2016-02-28,37.59746527777778,2016,17.094411115090736
2016-02-29,37.69173611111112,2016,17.123506347500793
2016-03-01,37.90378472222222,2016,17.152601579910854
2016-03-02,37.989756944444444,2016,17.181696812320915
2016-03-03,38.01958333333334,2016,17.210792044730976
2016-03-04,37.77777777777778,2016,17.239887277141037
