,Vms_Rock_Moisture_A4,wy,value
2015-12-18,41.48829861111112,2016,17.41413536484246
2015-12-19,41.47517361111112,2016,17.44212997512438
2015-12-20,42.33354166666667,2016,17.470124585406303
2015-12-21,42.62097222222223,2016,17.49811919568823
2015-12-22,43.150312500000005,2016,17.52611380597015
2015-12-23,43.43961805555555,2016,17.554108416252078
2015-12-24,43.66979166666667,2016,17.582103026534
2015-12-25,43.745694444444446,2016,17.610097636815922
2015-12-26,43.95836805555555,2016,17.63809224709785
2015-12-27,44.67819444444444,2016,17.66608685737977
2015-12-28,44.31881944444444,2016,17.694081467661693
2015-12-29,44.64552083333333,2016,17.72207607794362
2015-12-30,44.804340277777776,2016,17.75007068822554
2015-12-31,44.924826388888896,2016,17.778065298507467
2016-01-01,44.92190972222222,2016,17.80605990878939
2016-01-02,45.10510416666667,2016,17.834054519071312
2016-01-03,45.620312500000004,2016,17.862049129353238
2016-01-04,45.45635416666667,2016,17.89004373963516
2016-01-05,45.47572916666667,2016,17.918038349917083
2016-01-06,45.88218750000001,2016,17.94603296019901
2016-01-07,45.96579861111112,2016,17.97402757048093
2016-01-08,46.39135416666667,2016,18.002022180762857
2016-01-09,46.564166666666665,2016,18.03001679104478
2016-01-10,46.64572916666666,2016,18.058011401326702
2016-01-11,46.86895833333333,2016,18.086006011608628
2016-01-12,47.266597222222224,2016,18.11400062189055
2016-01-13,47.12177083333333,2016,18.141995232172473
2016-01-14,47.188159722222224,2016,18.1699898424544
2016-01-15,47.32934027777778,2016,18.19798445273632
2016-01-16,47.39496527777778,2016,18.225979063018244
2016-01-17,47.71881944444445,2016,18.25397367330017
2016-01-18,47.84190972222222,2016,18.281968283582092
2016-01-19,47.976076388888885,2016,18.309962893864018
2016-01-20,48.166979166666664,2016,18.33795750414594
2016-01-21,48.21628472222222,2016,18.365952114427863
2016-01-22,48.214930555555554,2016,18.39394672470979
2016-01-23,48.24888888888889,2016,18.42194133499171
2016-01-24,48.26913194444444,2016,18.449935945273634
2016-01-25,48.357395833333335,2016,18.47793055555556
2016-01-26,48.56486111111111,2016,18.505925165837482
2016-01-27,48.45201388888889,2016,18.533919776119408
2016-01-28,48.941805555555554,2016,18.56191438640133
2016-01-29,48.79663194444444,2016,18.589908996683253
2016-01-30,48.75927083333334,2016,18.61790360696518
2016-01-31,48.98104166666667,2016,18.6458982172471
2016-02-01,48.999583333333334,2016,18.673892827529023
2016-02-02,48.94673611111111,2016,18.70188743781095
2016-02-03,49.498437499999994,2016,18.729882048092872
2016-02-04,49.30805555555555,2016,18.757876658374798
2016-02-05,49.43225694444445,2016,18.78587126865672
2016-02-06,49.25149305555556,2016,18.813865878938643
2016-02-07,49.23951388888889,2016,18.84186048922057
2016-02-08,49.45753472222222,2016,18.86985509950249
2016-02-09,49.16954861111111,2016,18.897849709784413
2016-02-10,49.18645833333333,2016,18.92584432006634
2016-02-11,49.13017361111111,2016,18.95383893034826
2016-02-12,49.02621527777777,2016,18.981833540630184
2016-02-13,49.42520833333333,2016,19.00982815091211
2016-02-14,49.407916666666665,2016,19.037822761194032
2016-02-15,49.28760416666666,2016,19.06581737147596
2016-02-16,49.17173611111111,2016,19.09381198175788
2016-02-17,49.61486111111111,2016,19.121806592039803
2016-02-18,49.58708333333333,2016,19.14980120232173
2016-02-19,49.54975694444445,2016,19.17779581260365
2016-02-20,49.66305555555555,2016,19.205790422885574
2016-02-21,49.59590277777777,2016,19.2337850331675
2016-02-22,49.784930555555555,2016,19.261779643449422
2016-02-23,49.71381944444445,2016,19.289774253731345
2016-02-24,49.59725694444444,2016,19.31776886401327
2016-02-25,49.622187499999995,2016,19.345763474295193
2016-02-26,49.78875,2016,19.37375808457712
2016-02-27,49.80315972222221,2016,19.40175269485904
2016-02-28,49.841006944444445,2016,19.429747305140964
