,Vms_Rock_Moisture_A9,wy,value
2015-12-18,30.3084375,2016,30.402059232511107
2015-12-19,30.134131944444444,2016,30.435872370069916
2015-12-20,30.257326388888885,2016,30.469685507628725
2015-12-21,30.385347222222222,2016,30.503498645187534
2015-12-22,33.12222222222222,2016,30.537311782746343
2015-12-23,35.95166666666667,2016,30.571124920305152
2015-12-24,35.92836805555556,2016,30.60493805786396
2015-12-25,35.83881944444444,2016,30.63875119542277
2015-12-26,35.846423611111106,2016,30.67256433298158
2015-12-27,35.97743055555555,2016,30.70637747054039
2015-12-28,35.993159722222224,2016,30.740190608099198
2015-12-29,35.99579861111111,2016,30.774003745658007
2015-12-30,36.04131944444445,2016,30.807816883216816
2015-12-31,36.12079861111111,2016,30.841630020775625
2016-01-01,36.139583333333334,2016,30.875443158334434
2016-01-02,36.15152777777778,2016,30.909256295893247
2016-01-03,36.28440972222223,2016,30.943069433452056
2016-01-04,36.324965277777785,2016,30.976882571010865
2016-01-05,36.36708333333334,2016,31.010695708569674
2016-01-06,36.48166666666666,2016,31.044508846128483
2016-01-07,36.49378472222222,2016,31.078321983687292
2016-01-08,36.86243055555556,2016,31.1121351212461
2016-01-09,37.06854166666667,2016,31.14594825880491
2016-01-10,36.97194444444444,2016,31.17976139636372
2016-01-11,37.05857638888889,2016,31.21357453392253
2016-01-12,37.19555555555555,2016,31.247387671481338
2016-01-13,37.181527777777774,2016,31.281200809040147
2016-01-14,37.42208333333334,2016,31.315013946598956
2016-01-15,37.42340277777778,2016,31.348827084157765
2016-01-16,37.51100694444445,2016,31.382640221716578
2016-01-17,37.78017361111112,2016,31.416453359275387
2016-01-18,39.315729166666664,2016,31.450266496834196
2016-01-19,39.43559027777778,2016,31.484079634393005
2016-01-20,39.259652777777774,2016,31.517892771951814
2016-01-21,39.21951388888888,2016,31.551705909510623
2016-01-22,38.98003472222222,2016,31.585519047069432
2016-01-23,39.02486111111111,2016,31.61933218462824
2016-01-24,38.89576388888889,2016,31.65314532218705
2016-01-25,39.05,2016,31.68695845974586
2016-01-26,38.97472222222222,2016,31.72077159730467
2016-01-27,38.858715277777776,2016,31.754584734863478
2016-01-28,38.921875,2016,31.788397872422287
2016-01-29,39.14569444444444,2016,31.822211009981096
2016-01-30,39.18770833333333,2016,31.856024147539905
2016-01-31,39.28298611111111,2016,31.889837285098714
2016-02-01,39.07777777777777,2016,31.923650422657524
2016-02-02,38.98940972222221,2016,31.957463560216333
2016-02-03,39.077430555555544,2016,31.991276697775145
2016-02-04,39.044062499999995,2016,32.02508983533395
2016-02-05,38.95302083333333,2016,32.05890297289276
2016-02-06,38.91472222222222,2016,32.09271611045157
2016-02-07,38.706631944444446,2016,32.12652924801038
2016-02-08,38.512569444444445,2016,32.16034238556919
2016-02-09,38.390798611111116,2016,32.194155523128
