,Vms_Rock_Moisture_A1,wy,value
2015-12-18,42.78649305555555,2016,15.511601603575183
2015-12-19,43.40940972222222,2016,15.539659459341044
2015-12-20,44.46236111111111,2016,15.567717315106904
2015-12-21,44.36680555555555,2016,15.595775170872765
2015-12-22,44.93524305555556,2016,15.623833026638625
2015-12-23,45.34711805555556,2016,15.651890882404485
2015-12-24,45.79625000000001,2016,15.679948738170346
2015-12-25,46.591770833333335,2016,15.708006593936206
2015-12-26,47.05607638888889,2016,15.736064449702067
2015-12-27,47.351840277777775,2016,15.764122305467927
2015-12-28,47.167187500000004,2016,15.792180161233787
2015-12-29,47.76774305555555,2016,15.82023801699965
2015-12-30,48.177013888888894,2016,15.848295872765508
2015-12-31,48.39975694444445,2016,15.87635372853137
2016-01-01,48.72524305555555,2016,15.90441158429723
2016-01-02,48.85052083333333,2016,15.932469440063091
2016-01-03,48.806875,2016,15.960527295828951
2016-01-04,48.510416666666664,2016,15.988585151594812
2016-01-05,48.878680555555555,2016,16.01664300736067
2016-01-06,48.71392361111111,2016,16.044700863126533
2016-01-07,49.61055555555556,2016,16.072758718892395
2016-01-08,49.03451388888888,2016,16.100816574658253
2016-01-09,49.407534722222216,2016,16.128874430424112
2016-01-10,50.18309027777778,2016,16.156932286189974
2016-01-11,49.889201388888885,2016,16.184990141955836
2016-01-12,49.97291666666666,2016,16.213047997721695
2016-01-13,50.49159722222222,2016,16.241105853487557
2016-01-14,50.426840277777764,2016,16.269163709253416
2016-01-15,50.59795138888888,2016,16.297221565019278
2016-01-16,50.898958333333326,2016,16.325279420785137
2016-01-17,50.8392361111111,2016,16.353337276551
2016-01-18,50.81784722222221,2016,16.381395132316857
2016-01-19,50.89972222222221,2016,16.40945298808272
2016-01-20,51.15232638888887,2016,16.437510843848578
2016-01-21,51.03166666666666,2016,16.46556869961444
2016-01-22,51.19420138888888,2016,16.4936265553803
2016-01-23,51.279305555555545,2016,16.52168441114616
2016-01-24,51.43871527777777,2016,16.54974226691202
2016-01-25,51.47277777777777,2016,16.577800122677882
2016-01-26,51.567499999999995,2016,16.605857978443744
2016-01-27,51.66746527777778,2016,16.633915834209603
2016-01-28,51.378680555555555,2016,16.66197368997546
2016-01-29,51.70163194444444,2016,16.690031545741324
2016-01-30,51.95638888888889,2016,16.718089401507186
2016-01-31,51.734791666666666,2016,16.746147257273044
2016-02-01,51.95576388888889,2016,16.774205113038906
2016-02-02,51.875451388888884,2016,16.802262968804765
2016-02-03,51.52357638888889,2016,16.830320824570627
2016-02-04,52.04694444444444,2016,16.858378680336486
2016-02-05,51.94927083333332,2016,16.886436536102348
2016-02-06,52.23013888888889,2016,16.914494391868207
2016-02-07,52.56545138888888,2016,16.94255224763407
2016-02-08,52.804201388888885,2016,16.970610103399927
2016-02-09,52.94413194444444,2016,16.99866795916579
2016-02-10,52.90138888888888,2016,17.02672581493165
2016-02-11,52.82798611111111,2016,17.05478367069751
2016-02-12,52.95395833333333,2016,17.08284152646337
2016-02-13,53.104687500000004,2016,17.11089938222923
2016-02-14,52.92506944444445,2016,17.138957237995093
2016-02-15,52.85725694444444,2016,17.167015093760952
2016-02-16,52.98555555555556,2016,17.19507294952681
2016-02-17,53.11166666666667,2016,17.223130805292673
2016-02-18,52.950069444444445,2016,17.251188661058535
