,Vms_Rock_Moisture_A2,wy,value
2015-12-18,28.60375,2016,14.435445433581496
2015-12-19,29.785798611111108,2016,14.455888365055953
2015-12-20,30.52704861111111,2016,14.476331296530411
2015-12-21,31.846840277777773,2016,14.496774228004869
2015-12-22,32.62041666666667,2016,14.517217159479328
2015-12-23,33.278194444444445,2016,14.537660090953786
2015-12-24,33.65190972222222,2016,14.558103022428243
2015-12-25,34.55722222222223,2016,14.578545953902701
2015-12-26,35.304270833333334,2016,14.59898888537716
2015-12-27,35.50642361111111,2016,14.619431816851618
2015-12-28,35.740312499999995,2016,14.639874748326076
2015-12-29,35.9690625,2016,14.660317679800533
2015-12-30,36.20305555555556,2016,14.68076061127499
2015-12-31,36.43277777777778,2016,14.70120354274945
2016-01-01,36.56135416666667,2016,14.721646474223908
2016-01-02,36.63878472222222,2016,14.742089405698366
2016-01-03,36.70086805555555,2016,14.762532337172823
2016-01-04,36.91902777777778,2016,14.78297526864728
2016-01-05,37.012395833333336,2016,14.80341820012174
2016-01-06,37.31364583333334,2016,14.823861131596198
2016-01-07,37.961111111111116,2016,14.844304063070656
2016-01-08,38.281597222222224,2016,14.864746994545113
2016-01-09,38.525312500000005,2016,14.88518992601957
2016-01-10,38.949513888888895,2016,14.90563285749403
2016-01-11,39.424479166666664,2016,14.926075788968488
2016-01-12,39.45506944444444,2016,14.946518720442945
2016-01-13,39.53236111111111,2016,14.966961651917405
2016-01-14,39.854201388888896,2016,14.987404583391863
2016-01-15,40.18020833333334,2016,15.00784751486632
2016-01-16,40.401562500000004,2016,15.028290446340778
2016-01-17,40.54312500000001,2016,15.048733377815235
2016-01-18,40.77131944444445,2016,15.069176309289695
2016-01-19,40.92798611111112,2016,15.089619240764153
2016-01-20,41.172569444444456,2016,15.11006217223861
2016-01-21,41.21038194444446,2016,15.130505103713068
2016-01-22,41.274062500000014,2016,15.150948035187525
2016-01-23,41.38725694444445,2016,15.171390966661985
2016-01-24,42.07152777777778,2016,15.191833898136442
2016-01-25,42.17038194444445,2016,15.2122768296109
2016-01-26,42.37128472222223,2016,15.232719761085358
2016-01-27,42.55524305555556,2016,15.253162692559815
2016-01-28,42.55833333333333,2016,15.273605624034275
2016-01-29,42.95482638888888,2016,15.294048555508732
2016-01-30,43.31809027777778,2016,15.31449148698319
2016-01-31,43.55041666666667,2016,15.334934418457648
2016-02-01,43.6928125,2016,15.355377349932107
2016-02-02,44.057812500000004,2016,15.375820281406565
2016-02-03,44.409479166666664,2016,15.396263212881022
2016-02-04,44.67777777777778,2016,15.41670614435548
2016-02-05,45.202847222222225,2016,15.43714907582994
2016-02-06,45.40392361111111,2016,15.457592007304397
2016-02-07,45.68899305555556,2016,15.478034938778855
2016-02-08,45.65875,2016,15.498477870253312
2016-02-09,45.865659722222226,2016,15.51892080172777
2016-02-10,45.95402777777778,2016,15.53936373320223
2016-02-11,45.96579861111112,2016,15.559806664676687
2016-02-12,46.1390625,2016,15.580249596151145
2016-02-13,46.23520833333333,2016,15.600692527625602
2016-02-14,46.318472222222226,2016,15.62113545910006
2016-02-15,46.31743055555555,2016,15.64157839057452
2016-02-16,46.32920138888889,2016,15.662021322048977
2016-02-17,46.42204861111111,2016,15.682464253523435
2016-02-18,46.50100694444445,2016,15.702907184997892
2016-02-19,46.59236111111111,2016,15.72335011647235
2016-02-20,46.61194444444445,2016,15.74379304794681
2016-02-21,46.66798611111111,2016,15.764235979421267
2016-02-22,46.66847222222222,2016,15.784678910895725
2016-02-23,46.79475694444445,2016,15.805121842370184
2016-02-24,46.82836805555556,2016,15.82556477384464
2016-02-25,46.84045138888889,2016,15.8460077053191
2016-02-26,46.954097222222224,2016,15.866450636793557
2016-02-27,47.02465277777778,2016,15.886893568268015
2016-02-28,46.99250000000001,2016,15.907336499742474
2016-02-29,47.06187500000001,2016,15.927779431216932
2016-03-01,47.21086805555556,2016,15.94822236269139
2016-03-02,47.23052083333334,2016,15.968665294165847
2016-03-03,47.15222222222223,2016,15.989108225640305
2016-03-04,47.14274305555556,2016,16.009551157114764
2016-03-05,47.24673611111111,2016,16.02999408858922
2016-03-06,47.61045138888889,2016,16.05043702006368
2016-03-07,47.608402777777776,2016,16.07087995153814
2016-03-08,47.637812499999995,2016,16.091322883012595
