,Vms_Rock_Moisture_A8,wy,value
2015-12-20,33.00083333333334,2016,33.00083333333334
2015-12-21,33.30809027777778,2016,33.08473681037809
2015-12-22,37.65145833333333,2016,33.168640287422846
2015-12-23,39.52583333333334,2016,33.252543764467596
2015-12-24,39.44753472222222,2016,33.33644724151235
2015-12-25,39.822673611111114,2016,33.4203507185571
2015-12-26,40.09673611111112,2016,33.50425419560186
2015-12-27,40.20142361111112,2016,33.58815767264661
2015-12-28,40.39777777777778,2016,33.672061149691366
2015-12-29,40.53059027777778,2016,33.755964626736116
2015-12-30,40.71437500000001,2016,33.83986810378087
2015-12-31,40.86031250000001,2016,33.92377158082562
2016-01-01,41.04437500000001,2016,34.00767505787038
2016-01-02,41.03173611111112,2016,34.09157853491513
2016-01-03,40.965763888888894,2016,34.175482011959886
2016-01-04,41.03038194444445,2016,34.259385489004636
2016-01-05,41.10215277777779,2016,34.343288966049386
2016-01-06,41.31340277777779,2016,34.42719244309414
2016-01-07,41.49555555555556,2016,34.51109592013889
2016-01-08,41.73743055555556,2016,34.59499939718365
2016-01-09,41.921354166666674,2016,34.6789028742284
2016-01-10,41.99663194444445,2016,34.762806351273156
2016-01-11,42.051076388888895,2016,34.846709828317906
2016-01-12,42.16930555555556,2016,34.93061330536266
2016-01-13,42.22652777777778,2016,35.01451678240741
2016-01-14,42.48104166666666,2016,35.09842025945217
2016-01-15,42.47347222222222,2016,35.18232373649692
2016-01-16,42.58038194444445,2016,35.266227213541676
2016-01-17,42.85177083333334,2016,35.350130690586425
2016-01-18,44.51569444444445,2016,35.43403416763118
2016-01-19,43.98920138888889,2016,35.51793764467593
2016-01-20,43.82802083333333,2016,35.60184112172068
2016-01-21,43.91645833333334,2016,35.68574459876544
2016-01-22,43.85295138888889,2016,35.76964807581019
2016-01-23,44.02222222222222,2016,35.853551552854945
2016-01-24,44.18725694444444,2016,35.937455029899695
2016-01-25,44.386493055555555,2016,36.02135850694445
2016-01-26,44.44399305555555,2016,36.1052619839892
2016-01-27,44.52399305555556,2016,36.18916546103396
2016-01-28,44.503784722222214,2016,36.27306893807871
2016-01-29,44.6389236111111,2016,36.356972415123465
2016-01-30,44.6809375,2016,36.440875892168215
2016-01-31,44.75034722222222,2016,36.524779369212965
2016-02-01,44.645,2016,36.60868284625772
2016-02-02,44.72211805555555,2016,36.69258632330247
2016-02-03,44.76135416666667,2016,36.77648980034723
2016-02-04,44.90649305555555,2016,36.86039327739198
2016-02-05,44.91708333333333,2016,36.944296754436735
2016-02-06,44.98986111111111,2016,37.028200231481485
2016-02-07,45.012569444444445,2016,37.11210370852624
2016-02-08,45.14736111111111,2016,37.19600718557099
2016-02-09,45.30722222222223,2016,37.27991066261575
2016-02-10,45.442499999999995,2016,37.3638141396605
2016-02-11,45.67982638888889,2016,37.447717616705255
2016-02-12,45.82083333333333,2016,37.531621093750005
2016-02-13,45.675555555555555,2016,37.61552457079476
2016-02-14,45.793194444444445,2016,37.69942804783951
2016-02-15,46.174513888888896,2016,37.78333152488426
2016-02-16,46.05350694444445,2016,37.86723500192902
2016-02-17,45.500277777777775,2016,37.95113847897377
2016-02-18,45.64086805555556,2016,38.035041956018524
2016-02-19,45.93423611111111,2016,38.118945433063274
2016-02-20,46.18152777777778,2016,38.20284891010803
2016-02-21,46.305555555555564,2016,38.28675238715278
2016-02-22,46.23934027777778,2016,38.37065586419754
2016-02-23,46.511805555555554,2016,38.45455934124229
2016-02-24,46.427881944444444,2016,38.538462818287044
2016-02-25,46.58444444444444,2016,38.622366295331794
2016-02-26,46.61416666666667,2016,38.70626977237655
2016-02-27,46.516284722222224,2016,38.7901732494213
2016-02-28,46.88604166666667,2016,38.87407672646606
2016-02-29,46.999097222222225,2016,38.95798020351081
2016-03-01,46.71423611111111,2016,39.04188368055556
2016-03-02,46.39399305555556,2016,39.125787157600314
2016-03-03,46.8578125,2016,39.209690634645064
2016-03-04,47.492395833333326,2016,39.29359411168982
2016-03-05,46.29083333333333,2016,39.37749758873457
2016-03-06,46.90954861111111,2016,39.46140106577933
2016-03-07,47.56927083333334,2016,39.54530454282408
2016-03-08,47.73413194444444,2016,39.629208019868834
2016-03-09,47.279201388888886,2016,39.713111496913584
2016-03-10,47.500659722222224,2016,39.79701497395834
2016-03-11,47.58121527777778,2016,39.88091845100309
2016-03-12,47.198819444444446,2016,39.96482192804785
2016-03-13,47.5134375,2016,40.0487254050926
2016-03-14,49.089166666666664,2016,40.132628882137354
2016-03-15,48.92388888888888,2016,40.216532359182104
2016-03-16,48.65121527777777,2016,40.30043583622685
2016-03-17,48.918368055555554,2016,40.38433931327161
2016-03-18,48.900312500000005,2016,40.46824279031636
2016-03-19,48.915625,2016,40.55214626736112
2016-03-20,48.710590277777776,2016,40.63604974440587
2016-03-21,48.55819444444444,2016,40.71995322145062
2016-03-22,48.628993055555554,2016,40.80385669849537
2016-03-23,49.09298611111111,2016,40.88776017554013
2016-03-24,49.05840277777778,2016,40.97166365258488
2016-03-25,49.240312499999995,2016,41.05556712962964
2016-03-26,49.23100694444444,2016,41.13947060667439
2016-03-27,49.481944444444444,2016,41.223374083719136
2016-03-28,49.65701388888888,2016,41.30727756076389
2016-03-29,49.128680555555555,2016,41.39118103780865
2016-03-30,49.353020833333325,2016,41.4750845148534
2016-03-31,49.17649305555555,2016,41.55898799189815
2016-04-01,49.20722222222222,2016,41.642891468942906
2016-04-02,49.67420138888889,2016,41.726794945987656
2016-04-03,49.31125,2016,41.81069842303241
2016-04-04,49.71204861111111,2016,41.89460190007716
2016-04-05,49.79486111111111,2016,41.97850537712192
2016-04-06,49.686631944444436,2016,42.06240885416667
2016-04-07,49.8146875,2016,42.146312331211426
2016-04-08,49.820520833333326,2016,42.230215808256176
2016-04-09,49.845208333333325,2016,42.31411928530093
2016-04-10,49.52927083333333,2016,42.39802276234568
2016-04-11,49.82152777777778,2016,42.48192623939043
2016-04-12,49.93131944444445,2016,42.56582971643519
2016-04-13,50.14628472222222,2016,42.649733193479946
2016-04-14,50.126597222222216,2016,42.733636670524696
2016-04-15,50.04371527777778,2016,42.817540147569446
2016-04-16,50.16381944444444,2016,42.9014436246142
