,Vms_Rock_Moisture_A5,wy,value
2015-12-18,13.762326388888887,2016,14.328674181887367
2015-12-19,13.948159722222222,2016,14.351019406392693
2015-12-20,13.839479166666663,2016,14.37336463089802
2015-12-21,14.30753472222222,2016,14.395709855403348
2015-12-22,26.278263888888887,2016,14.418055079908676
2015-12-23,27.50493055555555,2016,14.440400304414002
2015-12-24,27.72604166666667,2016,14.46274552891933
2015-12-25,28.089722222222225,2016,14.485090753424657
2015-12-26,28.465277777777782,2016,14.507435977929983
2015-12-27,28.545486111111117,2016,14.529781202435311
2015-12-28,28.649687500000002,2016,14.552126426940639
2015-12-29,28.834270833333335,2016,14.574471651445966
2015-12-30,28.991145833333338,2016,14.596816875951292
2015-12-31,29.01065972222222,2016,14.61916210045662
2016-01-01,29.198298611111113,2016,14.641507324961948
2016-01-02,29.205833333333334,2016,14.663852549467276
2016-01-03,29.10881944444445,2016,14.686197773972602
2016-01-04,29.02423611111112,2016,14.70854299847793
2016-01-05,29.033923611111117,2016,14.730888222983257
2016-01-06,29.267916666666668,2016,14.753233447488583
2016-01-07,29.50788194444445,2016,14.77557867199391
2016-01-08,29.628715277777786,2016,14.797923896499238
2016-01-09,29.719513888888894,2016,14.820269121004566
2016-01-10,29.899583333333336,2016,14.842614345509892
2016-01-11,29.959999999999997,2016,14.86495957001522
2016-01-12,30.12916666666666,2016,14.887304794520547
2016-01-13,30.172013888888884,2016,14.909650019025875
2016-01-14,30.370833333333337,2016,14.931995243531201
2016-01-15,30.41371527777778,2016,14.954340468036529
2016-01-16,30.54562499999999,2016,14.976685692541857
2016-01-17,30.697430555555545,2016,14.999030917047182
2016-01-18,31.064513888888886,2016,15.02137614155251
2016-01-19,30.973472222222224,2016,15.043721366057838
2016-01-20,31.202951388888888,2016,15.066066590563166
2016-01-21,31.225520833333334,2016,15.088411815068492
2016-01-22,31.237916666666667,2016,15.11075703957382
2016-01-23,31.29003472222222,2016,15.133102264079147
2016-01-24,31.499062499999997,2016,15.155447488584475
2016-01-25,31.610347222222217,2016,15.1777927130898
2016-01-26,31.69138888888888,2016,15.200137937595128
2016-01-27,31.737118055555552,2016,15.222483162100456
2016-01-28,31.75565972222222,2016,15.244828386605782
2016-01-29,31.852881944444437,2016,15.26717361111111
2016-01-30,31.991909722222218,2016,15.289518835616438
2016-01-31,31.937673611111105,2016,15.311864060121765
2016-02-01,31.980104166666663,2016,15.334209284627091
2016-02-02,32.01624999999999,2016,15.356554509132419
2016-02-03,32.080833333333324,2016,15.378899733637747
2016-02-04,32.234826388888884,2016,15.401244958143074
