,Vms_Rock_Moisture_A10,wy,value
2015-12-18,34.51079861111111,2016,31.69989929052429
2015-12-19,34.59430555555556,2016,31.763465969215968
2015-12-20,34.66625,2016,31.827032647907647
2015-12-21,34.81579861111111,2016,31.890599326599325
2015-12-22,35.869097222222216,2016,31.954166005291004
2015-12-23,38.230138888888895,2016,32.017732683982686
2015-12-24,38.89857638888889,2016,32.081299362674365
2015-12-25,39.233020833333335,2016,32.14486604136604
2015-12-26,39.384236111111115,2016,32.20843272005772
2015-12-27,39.93163194444445,2016,32.2719993987494
2015-12-28,40.15086805555556,2016,32.33556607744108
2015-12-29,40.33954861111112,2016,32.39913275613276
2015-12-30,40.53774305555556,2016,32.46269943482444
2015-12-31,40.705451388888896,2016,32.526266113516115
2016-01-01,40.848090277777786,2016,32.589832792207794
2016-01-02,41.02024305555556,2016,32.65339947089947
2016-01-03,41.21336805555556,2016,32.71696614959115
2016-01-04,41.24496527777779,2016,32.78053282828283
2016-01-05,41.30177083333334,2016,32.84409950697451
2016-01-06,41.41298611111112,2016,32.90766618566619
2016-01-07,41.75534722222223,2016,32.971232864357866
2016-01-08,41.96798611111112,2016,33.034799543049544
2016-01-09,42.17006944444445,2016,33.09836622174122
2016-01-10,42.38666666666667,2016,33.1619329004329
2016-01-11,42.408750000000005,2016,33.22549957912458
2016-01-12,42.50597222222222,2016,33.28906625781626
2016-01-13,42.52753472222222,2016,33.35263293650794
2016-01-14,42.973437499999996,2016,33.416199615199616
2016-01-15,43.13652777777778,2016,33.479766293891295
2016-01-16,43.172326388888884,2016,33.543332972582974
2016-01-17,43.26020833333333,2016,33.60689965127465
2016-01-18,44.14951388888889,2016,33.67046632996633
2016-01-19,44.30732638888889,2016,33.73403300865801
2016-01-20,44.40319444444444,2016,33.79759968734969
2016-01-21,44.42892361111111,2016,33.86116636604137
2016-01-22,44.293645833333336,2016,33.924733044733046
2016-01-23,44.43503472222222,2016,33.988299723424724
2016-01-24,44.63350694444444,2016,34.0518664021164
2016-01-25,44.7359375,2016,34.11543308080808
2016-01-26,44.745798611111105,2016,34.17899975949976
2016-01-27,44.5484375,2016,34.24256643819144
2016-01-28,44.56548611111111,2016,34.30613311688312
2016-01-29,45.02545138888889,2016,34.369699795574796
2016-01-30,44.84826388888889,2016,34.433266474266475
2016-01-31,44.697361111111114,2016,34.49683315295815
2016-02-01,44.47378472222223,2016,34.56039983164983
2016-02-02,44.3811111111111,2016,34.62396651034151
2016-02-03,44.37336805555555,2016,34.68753318903319
2016-02-04,44.4592361111111,2016,34.75109986772487
2016-02-05,44.48756944444444,2016,34.81466654641655
2016-02-06,44.59795138888888,2016,34.878233225108225
2016-02-07,44.631388888888885,2016,34.941799903799904
2016-02-08,44.723055555555554,2016,35.00536658249158
2016-02-09,44.55701388888889,2016,35.06893326118326
2016-02-10,44.34517361111111,2016,35.13249993987494
2016-02-11,44.58298611111112,2016,35.19606661856662
2016-02-12,44.62506944444445,2016,35.2596332972583
2016-02-13,44.60013888888889,2016,35.323199975949976
2016-02-14,44.60913194444444,2016,35.386766654641654
2016-02-15,44.61795138888889,2016,35.45033333333333
2016-02-16,44.35479166666667,2016,35.51390001202501
2016-02-17,44.74118055555556,2016,35.57746669071669
2016-02-18,44.945625,2016,35.64103336940837
2016-02-19,44.98520833333333,2016,35.70460004810005
2016-02-20,44.816875,2016,35.768166726791726
2016-02-21,44.761319444444446,2016,35.831733405483405
2016-02-22,44.6990625,2016,35.895300084175084
2016-02-23,44.796284722222225,2016,35.95886676286676
2016-02-24,45.09517361111111,2016,36.02243344155844
2016-02-25,44.943472222222226,2016,36.08600012025012
2016-02-26,44.91555555555556,2016,36.1495667989418
2016-02-27,44.64378472222222,2016,36.21313347763348
2016-02-28,45.00930555555556,2016,36.276700156325155
2016-02-29,44.72416666666666,2016,36.340266835016834
2016-03-01,45.19315972222222,2016,36.40383351370851
2016-03-02,45.38930555555556,2016,36.46740019240019
2016-03-03,45.290868055555556,2016,36.53096687109187
2016-03-04,44.99100694444444,2016,36.59453354978355
2016-03-05,45.16177083333333,2016,36.65810022847523
2016-03-06,45.389652777777776,2016,36.721666907166906
2016-03-07,45.419270833333336,2016,36.785233585858585
2016-03-08,45.538333333333334,2016,36.84880026455026
2016-03-09,45.78177083333333,2016,36.91236694324194
2016-03-10,45.41076388888889,2016,36.97593362193362
2016-03-11,45.61295138888889,2016,37.0395003006253
2016-03-12,45.707013888888895,2016,37.10306697931698
2016-03-13,45.656597222222224,2016,37.16663365800866
2016-03-14,45.96256944444445,2016,37.230200336700335
2016-03-15,45.91090277777778,2016,37.293767015392014
2016-03-16,45.81128472222222,2016,37.35733369408369
2016-03-17,45.79934027777778,2016,37.42090037277537
2016-03-18,45.61489583333333,2016,37.48446705146705
2016-03-19,45.74545138888889,2016,37.54803373015873
2016-03-20,45.69788194444445,2016,37.61160040885041
2016-03-21,45.686979166666674,2016,37.675167087542086
2016-03-22,45.89065972222222,2016,37.738733766233764
2016-03-23,45.72888888888889,2016,37.80230044492544
2016-03-24,45.898784722222224,2016,37.86586712361712
2016-03-25,45.881145833333335,2016,37.9294338023088
2016-03-26,45.91128472222223,2016,37.99300048100048
2016-03-27,45.97996527777778,2016,38.05656715969216
2016-03-28,45.92197916666667,2016,38.120133838383836
2016-03-29,45.97197916666667,2016,38.183700517075515
2016-03-30,45.99409722222222,2016,38.24726719576719
2016-03-31,46.17256944444444,2016,38.31083387445887
2016-04-01,46.17826388888889,2016,38.37440055315055
2016-04-02,46.169131944444445,2016,38.43796723184223
2016-04-03,46.18840277777778,2016,38.50153391053391
2016-04-04,46.17916666666667,2016,38.56510058922559
2016-04-05,46.30135416666667,2016,38.628667267917265
2016-04-06,46.27722222222223,2016,38.692233946608944
2016-04-07,46.46208333333334,2016,38.75580062530062
2016-04-08,46.34135416666667,2016,38.8193673039923
2016-04-09,46.36704861111111,2016,38.88293398268398
2016-04-10,46.360798611111115,2016,38.94650066137566
2016-04-11,46.300000000000004,2016,39.01006734006734
2016-04-12,46.39065972222222,2016,39.073634018759016
2016-04-13,46.44479166666667,2016,39.137200697450695
2016-04-14,46.44642361111111,2016,39.20076737614237
2016-04-15,46.43982638888889,2016,39.26433405483405
2016-04-16,46.43975694444445,2016,39.32790073352573
2016-04-17,46.50920138888889,2016,39.39146741221741
2016-04-18,46.516423611111115,2016,39.45503409090909
2016-04-19,46.551631944444445,2016,39.518600769600766
2016-04-20,46.618159722222224,2016,39.582167448292445
2016-04-21,46.629027777777786,2016,39.645734126984124
2016-04-22,46.5946875,2016,39.7093008056758
2016-04-23,46.65642361111111,2016,39.77286748436748
2016-04-24,46.687118055555565,2016,39.83643416305916
2016-04-25,46.66079861111111,2016,39.90000084175084
2016-04-26,46.71392361111111,2016,39.96356752044252
2016-04-27,46.655520833333334,2016,40.027134199134196
2016-04-28,46.74239583333334,2016,40.090700877825874
2016-04-29,46.59822916666667,2016,40.15426755651755
2016-04-30,46.69243055555555,2016,40.21783423520923
2016-05-01,46.722951388888895,2016,40.28140091390091
2016-05-02,46.68208333333334,2016,40.34496759259259
2016-05-03,46.75131944444445,2016,40.40853427128427
2016-05-04,46.70854166666667,2016,40.472100949975946
2016-05-05,46.63458333333333,2016,40.535667628667625
2016-05-06,46.78875,2016,40.5992343073593
2016-05-07,46.79475694444445,2016,40.66280098605098
2016-05-08,46.8734375,2016,40.72636766474266
2016-05-09,46.826458333333335,2016,40.78993434343434
2016-05-10,46.86298611111112,2016,40.85350102212602
2016-05-11,46.874201388888885,2016,40.9170677008177
2016-05-12,47.029895833333335,2016,40.980634379509375
2016-05-13,46.965520833333336,2016,41.044201058201054
2016-05-14,46.956076388888896,2016,41.10776773689273
2016-05-15,46.9425,2016,41.17133441558441
2016-05-16,46.95024305555555,2016,41.23490109427609
2016-05-17,47.00895833333334,2016,41.29846777296777
2016-05-18,46.98541666666667,2016,41.36203445165945
2016-05-19,47.05555555555555,2016,41.425601130351126
2016-05-20,47.06243055555556,2016,41.489167809042804
2016-05-21,47.13059027777778,2016,41.55273448773448
2016-05-22,47.11354166666667,2016,41.61630116642616
2016-05-23,47.130902777777784,2016,41.67986784511784
2016-05-24,47.30715277777778,2016,41.74343452380952
2016-05-25,47.249583333333334,2016,41.8070012025012
2016-05-26,47.34038194444444,2016,41.870567881192876
2016-05-27,47.393229166666664,2016,41.934134559884555
2016-05-28,47.407048611111115,2016,41.997701238576234
2016-05-29,47.45975694444444,2016,42.06126791726791
2016-05-30,47.48458333333334,2016,42.12483459595959
2016-05-31,47.40739583333333,2016,42.18840127465127
2016-06-01,47.54795138888889,2016,42.25196795334295
2016-06-02,47.569375,2016,42.31553463203463
2016-06-03,47.587673611111114,2016,42.379101310726305
2016-06-04,47.57395833333334,2016,42.442667989417984
2016-06-05,47.56802083333333,2016,42.50623466810966
2016-06-06,47.57513888888889,2016,42.56980134680134
2016-06-07,47.614444444444445,2016,42.63336802549302
2016-06-08,47.61951388888889,2016,42.6969347041847
2016-06-09,47.613125,2016,42.76050138287638
