,Vms_Rock_Moisture_A7,wy,value
2015-12-18,15.009652777777779,2016,16.896360684769775
2015-12-19,15.044270833333334,2016,16.960185376492195
2015-12-20,15.19763888888889,2016,17.02401006821461
2015-12-21,15.979444444444445,2016,17.08783475993703
2015-12-22,34.751527777777774,2016,17.15165945165945
2015-12-23,35.96253472222222,2016,17.21548414338187
2015-12-24,35.53829861111111,2016,17.27930883510429
2015-12-25,35.77406249999999,2016,17.34313352682671
2015-12-26,36.32225694444444,2016,17.40695821854913
2015-12-27,36.75972222222222,2016,17.470782910271545
2015-12-28,36.79538194444444,2016,17.534607601993965
2015-12-29,37.34034722222222,2016,17.598432293716385
2015-12-30,37.45461805555556,2016,17.662256985438802
2015-12-31,37.88534722222222,2016,17.726081677161222
2016-01-01,37.82288194444445,2016,17.789906368883642
2016-01-02,38.049618055555555,2016,17.85373106060606
2016-01-03,38.51381944444445,2016,17.91755575232848
2016-01-04,38.46315972222222,2016,17.9813804440509
2016-01-05,38.506006944444444,2016,18.045205135773315
2016-01-06,38.40708333333334,2016,18.109029827495736
2016-01-07,39.01128472222222,2016,18.172854519218156
2016-01-08,39.12225694444444,2016,18.236679210940572
2016-01-09,39.3284375,2016,18.300503902662992
2016-01-10,39.78138888888889,2016,18.364328594385412
2016-01-11,40.09704861111111,2016,18.42815328610783
2016-01-12,39.990729166666675,2016,18.49197797783025
2016-01-13,40.17534722222223,2016,18.55580266955267
2016-01-14,40.28979166666667,2016,18.619627361275086
2016-01-15,40.484618055555565,2016,18.683452052997506
2016-01-16,40.54961805555556,2016,18.747276744719926
2016-01-17,41.08746527777779,2016,18.811101436442343
2016-01-18,43.126284722222216,2016,18.874926128164763
2016-01-19,42.67194444444444,2016,18.938750819887183
2016-01-20,42.39222222222222,2016,19.002575511609603
2016-01-21,42.09243055555556,2016,19.066400203332023
2016-01-22,42.09937500000001,2016,19.13022489505444
2016-01-23,42.14381944444445,2016,19.19404958677686
2016-01-24,42.387569444444445,2016,19.25787427849928
2016-01-25,42.51916666666666,2016,19.321698970221696
2016-01-26,42.60850694444445,2016,19.385523661944116
2016-01-27,42.75795138888889,2016,19.449348353666537
2016-01-28,42.684444444444445,2016,19.513173045388953
2016-01-29,42.92204861111111,2016,19.576997737111373
2016-01-30,43.947187500000005,2016,19.640822428833793
2016-01-31,43.601284722222225,2016,19.70464712055621
2016-02-01,43.35583333333333,2016,19.76847181227863
2016-02-02,43.47173611111111,2016,19.83229650400105
2016-02-03,43.33121527777777,2016,19.896121195723467
2016-02-04,43.75232638888889,2016,19.959945887445887
2016-02-05,44.01680555555556,2016,20.023770579168307
2016-02-06,44.49180555555555,2016,20.087595270890723
2016-02-07,44.783229166666665,2016,20.151419962613144
2016-02-08,44.87184027777778,2016,20.215244654335564
2016-02-09,44.99118055555555,2016,20.27906934605798
2016-02-10,45.07298611111111,2016,20.3428940377804
2016-02-11,45.15190972222222,2016,20.40671872950282
2016-02-12,45.2890625,2016,20.470543421225237
2016-02-13,45.27347222222222,2016,20.534368112947657
2016-02-14,45.42916666666667,2016,20.598192804670077
2016-02-15,45.616215277777776,2016,20.662017496392494
2016-02-16,45.594027777777775,2016,20.725842188114914
2016-02-17,45.46145833333333,2016,20.789666879837334
2016-02-18,45.564305555555556,2016,20.85349157155975
2016-02-19,45.67951388888889,2016,20.91731626328217
2016-02-20,46.02815972222223,2016,20.98114095500459
2016-02-21,46.098333333333336,2016,21.04496564672701
2016-02-22,46.15309027777778,2016,21.10879033844943
2016-02-23,46.20590277777777,2016,21.172615030171848
2016-02-24,46.27118055555556,2016,21.236439721894268
2016-02-25,46.41722222222222,2016,21.300264413616688
2016-02-26,46.33795138888889,2016,21.364089105339104
2016-02-27,46.34982638888889,2016,21.427913797061525
2016-02-28,46.49350694444445,2016,21.491738488783945
2016-02-29,46.63861111111112,2016,21.55556318050636
2016-03-01,46.51746527777778,2016,21.61938787222878
2016-03-02,46.61829861111111,2016,21.6832125639512
2016-03-03,46.63173611111111,2016,21.747037255673618
2016-03-04,46.74767361111111,2016,21.810861947396038
2016-03-05,46.78003472222222,2016,21.87468663911846
2016-03-06,47.67756944444445,2016,21.938511330840875
2016-03-07,48.366909722222225,2016,22.002336022563295
2016-03-08,48.31763888888889,2016,22.066160714285715
2016-03-09,47.882152777777776,2016,22.12998540600813
2016-03-10,47.97993055555555,2016,22.19381009773055
2016-03-11,48.30590277777778,2016,22.257634789452972
